#Frame         radius     distplot         rmsf  ligand_rmsd            C           CA            O            N         SASA
     254      21.6275       1.4058      15.8104       1.8657       1.7638       1.7963       1.8906       1.7420     149.9007
     255      21.5321       1.4767      25.8109       2.1145       1.9098       1.9457       2.0224       1.9004     142.5134
     256      21.6133       1.5084      10.9299       1.8798       1.8839       1.9296       1.9967       1.8797     146.9477
     257      21.5984       1.5372      10.2522       2.0280       1.9346       1.9712       2.0540       1.9258     153.1277
     258      21.6081       1.5174       7.7853       1.9620       1.8320       1.8687       1.9494       1.8247     145.6015
     259      21.6138       1.4936       7.8706       2.0261       1.7337       1.7748       1.8590       1.7242     147.5574
     260      21.6307       1.4491       9.8516       2.0037       1.5948       1.6385       1.7319       1.5935     145.1451
     261      21.4397       1.4259      28.3717       1.9832       1.6544       1.6870       1.7867       1.6369     152.1215
     262      21.5275       1.4337       6.1615       2.0380       1.5768       1.6169       1.7084       1.5702     148.4327
     263      21.5395       1.4051       8.0645       1.9797       1.6266       1.6697       1.7510       1.6225     132.7627
     264      21.5330       1.4630      25.6127       1.8303       1.6910       1.7238       1.8165       1.6769     150.1775
     265      21.6165       1.4823       9.5968       1.8720       1.8572       1.8869       1.9741       1.8452     146.8438
     266      21.5500       1.4383       7.5559       1.8877       1.7701       1.7993       1.9094       1.7550     143.8223
     267      21.5119       1.5129       8.8251       2.0197       1.7257       1.7662       1.8586       1.7089     149.1828
     268      21.5943       1.4375      16.3431       1.9746       1.7184       1.7556       1.8480       1.7037     163.5259
     269      21.6194       1.4436      60.2944       1.8366       1.7205       1.7647       1.8463       1.7110     140.7038
     270      21.6720       1.4956      22.5462       1.9438       1.8167       1.8547       1.9372       1.8076     149.1074
     271      21.6864       1.5812      46.8942       1.9870       1.9386       1.9665       2.0816       1.9217     167.7076
     272      21.6462       1.4437      18.0794       1.9878       1.8264       1.8565       1.9573       1.8093     155.8576
     273      21.5993       1.5346      53.8982       1.9827       1.9423       1.9674       2.0759       1.9152     170.2103
     274      21.6637       1.5159      62.6112       1.9277       1.9167       1.9517       2.0336       1.9047     150.4222
     275      21.6810       1.5041      35.2774       1.8041       1.8221       1.8627       1.9513       1.8089     149.7750
     276      21.6094       1.4287      14.7244       1.9606       1.7275       1.7565       1.8593       1.7138     158.8172
     277      21.5495       1.3668      15.1952       1.9731       1.6045       1.6370       1.7239       1.5918     146.1821
     278      21.5742       1.4203      10.1558       1.9961       1.5876       1.6234       1.7106       1.5833     145.1827
     279      21.5850       1.3431      18.4911       2.0161       1.6168       1.6422       1.7644       1.5948     164.9026
     280      21.5459       1.3359      17.0714       1.8784       1.6085       1.6377       1.7492       1.5946     129.0555
     281      21.6744       1.4177      29.4552       1.9887       1.7645       1.7898       1.9033       1.7479     164.5435
     282      21.5565       1.4212      14.6136       1.9647       1.7712       1.7988       1.9130       1.7551     143.5516
     283      21.5734       1.3879      21.5047       2.0086       1.6936       1.7282       1.8230       1.6898     151.5367
     284      21.6949       1.4001      21.4348       2.0853       1.7707       1.7913       1.9071       1.7502     176.6700
     285      21.5941       1.3542      20.7799       2.0085       1.7235       1.7526       1.8687       1.7060     158.8601
     286      21.6672       1.3638      35.9947       1.9428       1.7255       1.7574       1.8535       1.7143     154.2316
